,2023-02-24,2023-02-28,2023-03-04,2023-03-08,2023-03-12,2023-03-16,2023-03-20,2023-03-24,2023-03-28,2023-04-01,2023-04-05,2023-04-09,2023-04-13,2023-04-17,2023-04-21,2023-04-25,2023-04-29,2023-05-03,2023-05-07,2023-05-11,2023-05-15,2023-05-19,2023-05-23,2023-05-27,2023-05-31,2023-06-04
2023-02-24,1.0,1.004635898055069,1.0485424520770192,1.0601345568372866,1.075240623561245,1.0970507230962887,1.1103134128811778,1.119800169974811,1.1357170206137681,1.1479309250717789,1.1513812500288083,1.1486484862588227,1.15176997296501,1.1545061119449425,1.1558009974153731,1.1601373366370031,1.1629715097000615,1.1651308325895113,1.1685847726209386,1.1722047714633514,1.1736629374232552,1.1770051033706257,1.1783609929484982,1.1768127672058066,1.1798069357998764,1.1821038439798268
2023-02-28,0,1.0,1.0465352849674416,1.0591186594538133,1.0737559194247799,1.0920218779550341,1.1071911260891447,1.1163173586644124,1.1322006815085506,1.142896489313694,1.1450573983350905,1.1425972948802383,1.1458049378268003,1.1485318650672147,1.149972596818242,1.154636644751722,1.1571798245445548,1.1594954764106928,1.1625705750401738,1.1676265555970862,1.1695908148577505,1.1731530294841417,1.1749815032485587,1.1749095293632872,1.177917188221688,1.1806984035773094
2023-03-04,0,0,1.0,1.0187459803835759,1.0316533790807418,1.0435120169165886,1.0606031365326127,1.0700807151013194,1.0846126611228453,1.0930621196756722,1.0944411356607562,1.0943662244574488,1.097975943371069,1.1009601608312698,1.10277016884906,1.1074056840376485,1.109617073534425,1.1123178164446763,1.1147710994822126,1.121884694713053,1.1247484356341968,1.1285328010874291,1.1312771677916647,1.1338979481816378,1.1369135408348277,1.140358278478826
2023-03-08,0,0,0,1.0,1.0122934977942306,1.0227149227168466,1.039738342081507,1.049565614171031,1.063463595033854,1.0715442420874977,1.0731916112071938,1.0741626379168934,1.0779205127856346,1.081004128446655,1.082948241928408,1.087421155163051,1.089605751121077,1.0924193764435581,1.0947482983135766,1.102148117551175,1.1052239540993942,1.1090144367742303,1.111981095013098,1.115212500677446,1.1182145395882697,1.1217537448736796
2023-03-12,0,0,0,0,1.0,1.0107243579465406,1.0269777317818298,1.037170742347595,1.0506710181775183,1.0590391788981592,1.0613306596285113,1.0629114547199714,1.0667345972704114,1.0698596331468966,1.0718657464959667,1.0761275145700453,1.0783926997182796,1.081230145482147,1.08360716702791,1.0906763900551464,1.0937217619770876,1.0974379418657874,1.1003807591637462,1.1034793291016063,1.1064570518704417,1.1098811709710277
2023-03-16,0,0,0,0,0,1.0,1.0127900024994492,1.0238288006457543,1.0369188416223802,1.0473808504230324,1.052015857126447,1.0540284731158176,1.057797730345192,1.0608391770366712,1.0628515690876812,1.066519214256744,1.0691993377398514,1.0718857216749382,1.0747516736952636,1.0796257206246316,1.082061769530462,1.08541706438319,1.087743473686908,1.088865383271228,1.0917401364273078,1.0944243973179788
2023-03-20,0,0,0,0,0,0,1.0,1.0110971840799376,1.023735915636617,1.0329646421767849,1.0369783725587982,1.0399491682565023,1.0438976453170101,1.0470414766740634,1.049234927532278,1.0529975559008753,1.0554782958741127,1.058353413356899,1.0608891906720666,1.0669415636444672,1.0698877575001462,1.0734141733694387,1.0762427352551527,1.0788458979137343,1.0817402797843598,1.0848452291027582
2023-03-24,0,0,0,0,0,0,0,1.0,1.0122704343951667,1.02177557736099,1.0264713096615432,1.0300775603344816,1.0340864236636582,1.0372248374332145,1.0395234453716273,1.0430960938455769,1.0456510212332764,1.0485556319912728,1.0511356851359288,1.0568315351680744,1.0597761481470123,1.063236910175519,1.0660491734467559,1.0685388472480337,1.0713939693766852,1.0743948786856297
2023-03-28,0,0,0,0,0,0,0,0,1.0,1.009580911153656,1.0147478696048526,1.0190022374388539,1.0230882682067595,1.0262529355425756,1.0286479301572886,1.032066290208872,1.034660267680194,1.0376137309826607,1.0401896290668777,1.045753121238528,1.0487464969949836,1.0521680686499788,1.0550250326724295,1.0575941654458763,1.060424161647336,1.0633832667935956
2023-04-01,0,0,0,0,0,0,0,0,0,1.0,1.0063019814505736,1.0110106615202936,1.0151001060791411,1.018173010763485,1.0206700145303171,1.0238251219991508,1.026587493722251,1.0295121254029775,1.0322718458432638,1.0368922916545993,1.039685744156233,1.0429495268326998,1.0455756801024698,1.0473837853082018,1.0501384835288234,1.0527850107624892
